"Text",Label
"Can I book a flight to Madrid?",NewBooking_SelectFlight
"I'd like to arrange a flight to Amsterdam.",NewBooking_SelectFlight
"I need to book a hotel in New York.",NewBooking_SelectHotel
"Can you help me reserve a hotel room?",NewBooking_SelectHotel
"I'd like to find a hotel for my stay.",NewBooking_SelectHotel
"Book me a hotel in London.",NewBooking_SelectHotel
"I want to reserve a hotel in Tokyo.",NewBooking_SelectHotel
"Looking to book a hotel room.",NewBooking_SelectHotel
"Can I book a hotel for my vacation?",NewBooking_SelectHotel
"I'd like to arrange a hotel booking.",NewBooking_SelectHotel
"Help me find a hotel to stay at.",NewBooking_SelectHotel
"Book a hotel room for me, please.",NewBooking_SelectHotel
"I want to book flights to New York, Paris, and Rome.",NewBooking_SelectMultiCityFlight
"Can you help me arrange a multi-city itinerary?",NewBooking_SelectMultiCityFlight
"I'd like to purchase a multi-city flight package.",NewBooking_SelectMultiCityFlight
"Book me a multi-city trip with stops in London and Berlin.",NewBooking_SelectMultiCityFlight
"I need to reserve flights to Tokyo, Sydney, and Melbourne.",NewBooking_SelectMultiCityFlight
"Looking to book a multi-city flight route.",NewBooking_SelectMultiCityFlight
"Can I arrange a multi-city flight from Dubai to Rome to Madrid?",NewBooking_SelectMultiCityFlight
"I'd like to set up a multi-city itinerary for my vacation.",NewBooking_SelectMultiCityFlight
"Help me book a multi-city flight plan.",NewBooking_SelectMultiCityFlight
"Book a multi-city flight with multiple destinations.",NewBooking_SelectMultiCityFlight
"I want to book a flight and hotel package.",NewBooking_SelectPackageDeal
"Can you help me with a flight and car hire bundle?",NewBooking_SelectPackageDeal
"I'd like to purchase a travel package deal.",NewBooking_SelectPackageDeal
"Book me a package that includes flight and hotel.",NewBooking_SelectPackageDeal
"I need to reserve a package deal for my trip.",NewBooking_SelectPackageDeal
"Looking to book a package with flight and car.",NewBooking_SelectPackageDeal
"Can I book a travel package with hotel included?",NewBooking_SelectPackageDeal
"I'd like to arrange a package deal for my vacation.",NewBooking_SelectPackageDeal
"Help me find a flight and hotel package.",NewBooking_SelectPackageDeal
"Book a flight and hotel bundle for me, please.",NewBooking_SelectPackageDeal
"I have a special request for my flight.",NewBooking_SpecialRequests
"Can I request a window seat?",NewBooking_SpecialRequests
"I need a vegetarian meal on my flight.",NewBooking_SpecialRequests
"Please arrange for wheelchair assistance.",NewBooking_SpecialRequests
"I'd like to request extra legroom.",NewBooking_SpecialRequests
"Can you help with a special request for my hotel?",NewBooking_SpecialRequests
"I need a late check-out for my hotel booking.",NewBooking_SpecialRequests
"Please arrange a car seat for my rental car.",NewBooking_SpecialRequests
"I have a special request for my package deal.",NewBooking_SpecialRequests
"Can I request a specific room type?",NewBooking_SpecialRequests
